,Year,State,County,Commodity,Data Item,Irrig_status,Value
0,2018,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,205.7
1,2018,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,73.3
2,2017,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,195.9
3,2017,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,90.7
4,2017,KANSAS,RAWLINS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,197.6
5,2017,KANSAS,RAWLINS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,118.6
6,2017,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,196.0
7,2017,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,94.7
8,2017,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,171.5
9,2017,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,101.8
10,2017,KANSAS,WALLACE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,198.8
11,2017,KANSAS,WALLACE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,100.3
12,2016,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,204.8
13,2016,KANSAS,CHEYENNE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,111.0
14,2016,KANSAS,SHERMAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,179.9
15,2016,KANSAS,SHERMAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,86.6
16,2016,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,181.5
17,2016,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,99.9
18,2015,KANSAS,DECATUR,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,187.7
19,2015,KANSAS,DECATUR,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,78.3
20,2015,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,206.8
21,2015,KANSAS,GOVE,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,87.6
22,2014,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,194.0
23,2014,KANSAS,SHERIDAN,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,60.7
24,2014,KANSAS,THOMAS,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,200.9
25,2014,KANSAS,THOMAS,CORN,"CORN, GRAIN, NON-IRRIGATED - YIELD, MEASURED IN BU / ACRE",rainfed,76.5
26,2014,KANSAS,GOVE,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",irrigated,187.9
