day month year Tmin Tmax pr eto
1 1 2000 -2.4114746093749773 11.327294921875023 0.0 1.11
2 1 2000 -6.281378173828102 7.896936035156273 0.0 1.09
3 1 2000 -10.321478271484352 1.4569030761718977 1.82 0.58
4 1 2000 -13.151037597656284 5.636407470703148 0.0 1.38
5 1 2000 -8.081243896484352 9.546197509765648 0.0 1.74
6 1 2000 -7.011114501953102 7.216149902343716 0.0 1.45
7 1 2000 -8.990728759765602 8.686822509765648 0.0 1.83
8 1 2000 -8.770544433593727 8.586114501953148 0.0 1.43
9 1 2000 -8.410986328124977 8.196588134765648 0.0 1.68
10 1 2000 -7.531286621093727 11.896630859375023 0.0 2.24
11 1 2000 -8.481207275390602 8.836633300781273 0.0 1.96
12 1 2000 -4.050695800781227 16.096490478515648 0.0 2.78
13 1 2000 -6.570715332031227 8.176202392578148 0.0 1.77
14 1 2000 -6.251593017578102 12.036859130859398 0.0 2.53
15 1 2000 -3.7315734863281023 17.627099609375023 0.0 2.52
16 1 2000 -8.051458740234352 7.956872558593716 0.0 1.61
17 1 2000 -6.620703124999977 15.046533203125023 0.0 1.62
18 1 2000 -1.3913330078124773 11.677301025390648 0.0 1.51
19 1 2000 -6.851538085937477 13.736474609375023 0.0 2.57
20 1 2000 -10.831030273437477 6.787042236328148 0.0 1.45
21 1 2000 -7.590856933593727 10.176660156250023 0.0 1.76
22 1 2000 -3.1614135742187273 10.316888427734398 0.0 1.32
23 1 2000 -8.131231689453102 5.267236328125023 0.0 0.94
24 1 2000 -9.321569824218727 11.046838378906273 0.0 2.0
25 1 2000 -10.801245117187477 1.9866882324218977 0.0 1.02
26 1 2000 -9.971502685546852 -2.1028808593749773 0.0 0.89
27 1 2000 -10.701239013671852 -1.8128417968749773 1.84 0.43
28 1 2000 -11.710729980468727 -1.4029296874999773 0.0 0.37
29 1 2000 -11.801153564453102 0.9367309570312727 0.0 0.55
30 1 2000 -11.371405029296852 2.3870178222656477 0.0 0.8
31 1 2000 -12.453222656249977 7.691979980468773 0.0 1.3
1 2 2000 -10.512945556640602 6.132623291015648 0.0 1.32
2 2 2000 -7.902532958984352 16.462060546875023 0.0 2.97
3 2 2000 -2.3529724121093523 10.141900634765648 0.0 2.34
4 2 2000 -9.282202148437477 4.552880859375023 0.0 1.74
5 2 2000 -9.902380371093727 9.402368164062523 0.0 1.84
6 2 2000 -5.312292480468727 15.432489013671898 0.0 2.51
7 2 2000 -2.6827148437499773 12.842309570312523 0.0 2.07
8 2 2000 -3.8921874999999773 18.621911621093716 0.0 3.37
9 2 2000 1.2467590332031477 17.212365722656273 0.0 2.45
10 2 2000 -1.7732299804687273 11.352471923828148 0.56 2.23
11 2 2000 -11.962835693359352 2.9323669433593977 0.89 0.89
12 2 2000 -13.512731933593727 5.942041015625023 0.0 1.39
13 2 2000 -11.142706298828102 1.6319213867187727 0.0 0.84
14 2 2000 -10.322546386718727 14.722924804687523 0.0 2.75
15 2 2000 -0.5031188964843523 19.072595214843716 0.0 4.0
16 2 2000 -6.262243652343727 11.412408447265648 0.0 2.51
17 2 2000 -6.002661132812477 8.571740722656273 1.69 1.83
18 2 2000 -8.042944335937477 3.4022155761718977 0.0 1.08
19 2 2000 -9.872595214843727 10.931756591796898 0.0 2.07
20 2 2000 -6.752630615234352 14.202722167968773 0.0 2.8
21 2 2000 -1.9125732421874773 21.822167968750023 0.0 3.48
22 2 2000 1.3775878906250227 19.852868652343716 0.0 2.63
23 2 2000 2.7370544433593977 13.931848144531273 13.08 1.47
