crop_mn_codeyear,date_ymd,pr,eto,etr,tmmn,tmmx
1_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
1_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
1_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
1_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
1_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
1_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
1_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
2_Cheyenne,20200101,0.00,1.86,3.03,266.5453829932386,284.1825999540507
2_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
2_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
2_Sherman,20200101,0.00,2.01,3.29,266.9013675192483,285.230577845085
2_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
2_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
2_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
2_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
2_Wallace,20200101,0.00,2.41,3.97,266.14085291290917,287.58356631879064
2_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
3_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
3_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
3_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
3_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
3_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
3_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
3_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
4_Cheyenne,20200101,0.00,1.86,3.03,266.5453829932386,284.1825999540507
4_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
4_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
4_Sherman,20200101,0.00,2.01,3.29,266.9013675192483,285.230577845085
4_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
4_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
4_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
4_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
4_Wallace,20200101,0.00,2.41,3.97,266.14085291290917,287.58356631879064
4_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
5_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
5_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
5_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
5_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
5_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
5_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
5_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
6_Cheyenne,20200101,0.00,1.86,3.03,266.5453829932386,284.1825999540507
6_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
6_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
6_Sherman,20200101,0.00,2.01,3.29,266.9013675192483,285.230577845085
6_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
6_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
6_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
6_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
6_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
7_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
7_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
7_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
7_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
7_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
7_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
7_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
8_Cheyenne,20200101,0.00,1.86,3.03,266.5453829932386,284.1825999540507
8_Rawlins,20200101,0.00,1.84,3.00,264.7210440006096,283.88659839000456
8_Decatur,20200101,0.00,1.49,2.41,263.2091743747382,282.54612696102373
8_Sherman,20200101,0.00,2.01,3.29,266.9013675192483,285.230577845085
8_Gove,20200101,0.00,2.03,3.32,264.8769458845832,286.03238944914386
8_Thomas,20200101,0.00,1.98,3.25,264.8096139746881,284.7768527340122
8_Sheridan,20200101,0.00,1.75,2.85,264.476476536047,283.7362196406223
8_Graham,20200101,0.00,1.41,2.26,264.64173077109325,281.99972920852446
8_Wallace,20200101,0.00,2.41,3.97,266.14085291290917,287.58356631879064
8_Logan,20200101,0.00,2.30,3.79,264.58922697113087,286.9756489935499
