Year,0,100,20,40,60,80,Value,YieldUSDA
2000,4.824229196950175,12.638669381394397,8.85558018355023,11.595653286534214,12.326885287354978,12.625072296933562,171.0,11.5083
2001,6.0606654580828705,12.362379639779077,9.529572175099474,12.04882994963519,12.205254506343499,12.36000907151972,196.0,13.1908
2002,0.11652081797534058,12.201465657703531,9.47790896604346,11.621483212125755,11.97870064996389,12.190111740921047,149.0,10.0277
2003,0.4448475004407315,12.574551620676225,11.129440575445056,12.419846419077112,12.450995925217956,12.570382342087823,171.0,11.5083
2004,11.228319010423183,13.864755369503559,12.389365430289317,13.242441720336274,13.60409690191748,13.849947023069173,202.0,13.5946
2005,6.6459723251946805,12.814144973797644,11.13639959905267,12.502100631183692,12.716162641019432,12.816959674959366,205.0,13.7965
2006,2.1240284959284557,12.567223507211287,10.37004855592185,11.866158801020363,12.347779363963467,12.551168086318018,155.0,10.4315
2007,4.982929337250323,12.40251472106346,9.985081671921558,12.021416183144936,12.160977416785732,12.398571802440687,206.0,13.8638
2009,10.463335947285222,13.548019911998942,12.045793801665479,13.345479787448522,13.504565514722243,13.547580789721337,211.0,14.2003
2010,5.984801468796332,12.62872763950452,10.392845074394932,12.38239142697053,12.423734951565534,12.61237498875363,185.2,12.463959999999998
2012,3.232878585467136,12.110327841170957,8.661919311557588,11.00785427903942,11.795653174310182,12.090866113443816,179.5,12.08035
2014,7.971750399642269,13.316291677865507,11.291979596458644,13.151882243487899,13.255353452901357,13.311066659422854,194.0,13.0562
